Datefirstseen,Event,XEvent,Proto,SrcIPAddr:Port,DstIPAddr:Port,X-SrcIPAddr:Port,X-DstIPAddr:Port,InByte,OutByte
2020-02-25 11:30:03.760,INVALID,Ignore,TCP,192.168.250.27:50297,81.19.104.45:443,0.0.0.0:0,0.0.0.0:0,224,0
2020-02-25 11:30:03.800,INVALID,Ignore,TCP,81.19.104.45:443,217.15.20.194:50297,0.0.0.0:0,0.0.0.0:0,136,0
2020-02-25 11:30:07.280,INVALID,Ignore,UDP,192.168.250.3:25727,192.168.250.1:53,0.0.0.0:0,0.0.0.0:0,142,0
2020-02-25 11:30:07.280,INVALID,Ignore,UDP,192.168.250.1:53,192.168.250.3:25727,0.0.0.0:0,0.0.0.0:0,322,0
2020-02-25 11:30:07.280,INVALID,Ignore,UDP,192.168.250.3:30193,192.168.250.1:53,0.0.0.0:0,0.0.0.0:0,124,0
2020-02-25 11:30:07.280,INVALID,Ignore,UDP,192.168.250.1:53,192.168.250.3:30193,0.0.0.0:0,0.0.0.0:0,124,0
2020-02-25 11:30:07.280,INVALID,Ignore,UDP,192.168.250.3:60435,192.168.250.1:53,0.0.0.0:0,0.0.0.0:0,140,0
2020-02-25 11:30:07.280,INVALID,Ignore,UDP,192.168.250.1:53,192.168.250.3:60435,0.0.0.0:0,0.0.0.0:0,140,0
2020-02-25 11:30:08.880,INVALID,Ignore,TCP,23.226.231.226:56019,217.15.20.194:80,0.0.0.0:0,0.0.0.0:0,80,0
2020-02-25 11:28:03.610,INVALID,Ignore,TCP,13.94.251.244:443,217.15.20.194:58679,0.0.0.0:0,0.0.0.0:0,7397,0
2020-02-25 11:21:32.040,INVALID,Ignore,TCP,23.226.231.226:43635,217.15.20.194:80,0.0.0.0:0,0.0.0.0:0,120,0
2020-02-25 11:30:11.310,INVALID,Ignore,UDP,192.168.250.27:65421,192.168.250.1:53,0.0.0.0:0,0.0.0.0:0,120,0
2020-02-25 11:30:11.320,INVALID,Ignore,UDP,192.168.250.27:49774,192.168.250.1:53,0.0.0.0:0,0.0.0.0:0,140,0
2020-02-25 11:30:11.340,INVALID,Ignore,UDP,192.168.250.1:53,192.168.250.27:65421,0.0.0.0:0,0.0.0.0:0,458,0
2020-02-25 11:30:11.340,INVALID,Ignore,UDP,192.168.250.1:53,192.168.250.27:49774,0.0.0.0:0,0.0.0.0:0,540,0
2020-02-25 11:30:13.990,INVALID,Ignore,UDP,192.168.250.27:59375,192.168.250.1:53,0.0.0.0:0,0.0.0.0:0,154,0
2020-02-25 11:30:13.990,INVALID,Ignore,UDP,192.168.250.1:53,192.168.250.27:59375,0.0.0.0:0,0.0.0.0:0,740,0
2020-02-25 11:29:43.130,INVALID,Ignore,TCP,192.168.250.3:80,23.226.231.226:16066,0.0.0.0:0,0.0.0.0:0,308,0
2020-02-25 11:27:17.500,INVALID,Ignore,TCP,68.232.34.200:443,217.15.20.194:50291,0.0.0.0:0,0.0.0.0:0,11442,0
2020-02-25 11:27:17.460,INVALID,Ignore,TCP,192.168.250.27:50291,68.232.34.200:443,0.0.0.0:0,0.0.0.0:0,2713,0
2020-02-25 11:30:07.210,INVALID,Ignore,TCP,92.118.38.58:38220,217.15.20.194:25,0.0.0.0:0,0.0.0.0:0,1027,0
2020-02-25 11:30:07.210,INVALID,Ignore,TCP,192.168.250.3:25,92.118.38.58:38220,0.0.0.0:0,0.0.0.0:0,972,0
2020-02-25 11:21:19.100,INVALID,Ignore,TCP,192.168.250.3:80,23.226.231.226:56426,0.0.0.0:0,0.0.0.0:0,572,0
2020-02-25 11:30:21.120,INVALID,Ignore,UDP,192.168.250.27:59107,192.168.250.1:53,0.0.0.0:0,0.0.0.0:0,150,0
2020-02-25 11:30:21.120,INVALID,Ignore,UDP,192.168.250.1:53,192.168.250.27:59107,0.0.0.0:0,0.0.0.0:0,468,0
2020-02-25 11:30:21.740,INVALID,Ignore,TCP,23.226.231.226:43228,217.15.20.194:80,0.0.0.0:0,0.0.0.0:0,80,0
2020-02-25 11:30:23.430,INVALID,Ignore,UDP,192.168.250.50:59515,192.168.250.1:53,0.0.0.0:0,0.0.0.0:0,146,0
2020-02-25 11:30:23.430,INVALID,Ignore,UDP,192.168.250.1:53,192.168.250.50:59515,0.0.0.0:0,0.0.0.0:0,464,0
2020-02-25 11:30:23.440,INVALID,Ignore,UDP,192.168.250.50:59516,173.194.222.95:443,0.0.0.0:0,0.0.0.0:0,4328,0
2020-02-25 11:30:23.440,INVALID,Ignore,UDP,173.194.222.95:443,217.15.20.194:59516,0.0.0.0:0,0.0.0.0:0,27012,0
2020-02-25 11:27:59.810,INVALID,Ignore,TCP,192.168.250.50:51353,77.111.247.41:443,0.0.0.0:0,0.0.0.0:0,2739,0
2020-02-25 11:28:08.860,INVALID,Ignore,TCP,77.111.247.41:443,217.15.20.194:51353,0.0.0.0:0,0.0.0.0:0,1948,0
2020-02-25 11:30:24.770,INVALID,Ignore,UDP,172.253.5.2:35312,217.15.20.194:53,0.0.0.0:0,0.0.0.0:0,162,0
2020-02-25 11:30:24.780,INVALID,Ignore,UDP,192.168.250.247:53,172.253.5.2:35312,0.0.0.0:0,0.0.0.0:0,344,0
2020-02-25 11:30:24.780,INVALID,Ignore,UDP,74.125.41.3:35120,217.15.20.194:53,0.0.0.0:0,0.0.0.0:0,162,0
2020-02-25 11:30:24.780,INVALID,Ignore,UDP,192.168.250.247:53,74.125.41.3:35120,0.0.0.0:0,0.0.0.0:0,344,0
2020-02-25 11:29:56.010,INVALID,Ignore,TCP,192.168.250.3:80,23.226.231.226:3275,0.0.0.0:0,0.0.0.0:0,308,0
2020-02-25 11:29:43.610,INVALID,Ignore,TCP,77.111.247.41:443,217.15.20.194:61392,0.0.0.0:0,0.0.0.0:0,9286,0
2020-02-25 11:29:43.580,INVALID,Ignore,TCP,192.168.250.50:61392,77.111.247.41:443,0.0.0.0:0,0.0.0.0:0,2824,0
2020-02-25 11:27:33.290,INVALID,Ignore,TCP,68.232.34.200:443,217.15.20.194:60484,0.0.0.0:0,0.0.0.0:0,11356,0
2020-02-25 11:27:33.250,INVALID,Ignore,TCP,192.168.250.57:60484,68.232.34.200:443,0.0.0.0:0,0.0.0.0:0,2754,0
2020-02-25 11:21:44.960,INVALID,Ignore,TCP,23.226.231.226:30844,217.15.20.194:80,0.0.0.0:0,0.0.0.0:0,120,0
2020-02-25 11:30:11.810,INVALID,Ignore,TCP,13.232.66.4:443,217.15.20.194:50301,0.0.0.0:0,0.0.0.0:0,4216,0
2020-02-25 11:28:30.890,INVALID,Ignore,TCP,40.114.211.99:443,217.15.20.194:61137,0.0.0.0:0,0.0.0.0:0,7609,0
2020-02-25 11:30:11.560,INVALID,Ignore,TCP,192.168.250.27:50300,77.74.181.18:443,0.0.0.0:0,0.0.0.0:0,1334,0
2020-02-25 11:30:11.590,INVALID,Ignore,TCP,77.74.181.18:443,217.15.20.194:50300,0.0.0.0:0,0.0.0.0:0,709,0
2020-02-25 11:30:34.110,INVALID,Ignore,UDP,192.168.250.62:45990,192.168.250.1:123,0.0.0.0:0,0.0.0.0:0,152,0
2020-02-25 11:30:34.110,INVALID,Ignore,UDP,192.168.250.1:123,192.168.250.62:45990,0.0.0.0:0,0.0.0.0:0,152,0
2020-02-25 11:30:34.610,INVALID,Ignore,TCP,23.226.231.226:30437,217.15.20.194:80,0.0.0.0:0,0.0.0.0:0,80,0
2020-02-25 11:30:37.260,INVALID,Ignore,UDP,192.168.250.3:31919,192.168.250.1:53,0.0.0.0:0,0.0.0.0:0,186,0
2020-02-25 11:30:37.260,INVALID,Ignore,UDP,192.168.250.1:53,192.168.250.3:31919,0.0.0.0:0,0.0.0.0:0,218,0
2020-02-25 11:30:37.270,INVALID,Ignore,TCP,192.168.250.3:17551,93.92.192.5:2022,0.0.0.0:0,0.0.0.0:0,2865,0
2020-02-25 11:30:37.270,INVALID,Ignore,TCP,93.92.192.5:2022,217.15.20.194:17551,0.0.0.0:0,0.0.0.0:0,2528,0
2020-02-25 11:30:28.800,INVALID,Ignore,TCP,192.168.250.50:61547,77.111.247.41:443,0.0.0.0:0,0.0.0.0:0,204,0
2020-02-25 11:30:38.420,INVALID,Ignore,UDP,192.168.250.3:40680,192.168.250.1:53,0.0.0.0:0,0.0.0.0:0,142,0
2020-02-25 11:30:38.430,INVALID,Ignore,UDP,192.168.250.1:53,192.168.250.3:40680,0.0.0.0:0,0.0.0.0:0,322,0
2020-02-25 11:30:38.430,INVALID,Ignore,UDP,192.168.250.3:17233,192.168.250.1:53,0.0.0.0:0,0.0.0.0:0,124,0
2020-02-25 11:30:38.430,INVALID,Ignore,UDP,192.168.250.1:53,192.168.250.3:17233,0.0.0.0:0,0.0.0.0:0,124,0
2020-02-25 11:30:38.430,INVALID,Ignore,UDP,192.168.250.3:15302,192.168.250.1:53,0.0.0.0:0,0.0.0.0:0,140,0
2020-02-25 11:30:38.430,INVALID,Ignore,UDP,192.168.250.1:53,192.168.250.3:15302,0.0.0.0:0,0.0.0.0:0,140,0
2020-02-25 11:30:08.880,INVALID,Ignore,TCP,192.168.250.3:80,23.226.231.226:56019,0.0.0.0:0,0.0.0.0:0,308,0
2020-02-25 11:30:11.980,INVALID,Ignore,TCP,192.168.250.27:50302,77.74.181.18:443,0.0.0.0:0,0.0.0.0:0,980,0
2020-02-25 11:30:12.000,INVALID,Ignore,TCP,77.74.181.18:443,217.15.20.194:50302,0.0.0.0:0,0.0.0.0:0,534,0
2020-02-25 11:21:32.040,INVALID,Ignore,TCP,192.168.250.3:80,23.226.231.226:43635,0.0.0.0:0,0.0.0.0:0,572,0
2020-02-25 11:30:46.780,INVALID,Ignore,UDP,192.168.250.35:55568,192.168.250.1:53,0.0.0.0:0,0.0.0.0:0,128,0
2020-02-25 11:30:46.780,INVALID,Ignore,UDP,192.168.250.35:52128,192.168.250.1:53,0.0.0.0:0,0.0.0.0:0,146,0
2020-02-25 11:30:46.780,INVALID,Ignore,UDP,192.168.250.1:53,192.168.250.35:52128,0.0.0.0:0,0.0.0.0:0,464,0
2020-02-25 11:30:46.790,INVALID,Ignore,UDP,192.168.250.1:53,192.168.250.35:55568,0.0.0.0:0,0.0.0.0:0,1058,0
2020-02-25 11:30:46.790,INVALID,Ignore,TCP,192.168.250.35:54856,192.168.250.1:53,0.0.0.0:0,0.0.0.0:0,168,0
2020-02-25 11:30:46.790,INVALID,Ignore,TCP,192.168.250.1:53,192.168.250.35:54856,0.0.0.0:0,0.0.0.0:0,120,0
2020-02-25 11:30:46.800,INVALID,Ignore,UDP,192.168.250.35:123,17.253.38.125:123,0.0.0.0:0,0.0.0.0:0,152,0
2020-02-25 11:30:46.810,INVALID,Ignore,UDP,192.168.250.35:123,17.253.54.253:123,0.0.0.0:0,0.0.0.0:0,152,0
2020-02-25 11:30:46.850,INVALID,Ignore,UDP,17.253.54.253:123,217.15.20.194:123,0.0.0.0:0,0.0.0.0:0,152,0
2020-02-25 11:30:46.960,INVALID,Ignore,UDP,192.168.250.35:123,17.253.38.253:123,0.0.0.0:0,0.0.0.0:0,152,0
2020-02-25 11:30:47.460,INVALID,Ignore,TCP,23.226.231.226:17646,217.15.20.194:80,0.0.0.0:0,0.0.0.0:0,80,0
2020-02-25 11:30:38.350,INVALID,Ignore,TCP,92.118.38.58:58152,217.15.20.194:25,0.0.0.0:0,0.0.0.0:0,1031,0
2020-02-25 11:30:38.350,INVALID,Ignore,TCP,192.168.250.3:25,92.118.38.58:58152,0.0.0.0:0,0.0.0.0:0,972,0
2020-02-25 11:30:49.700,INVALID,Ignore,UDP,192.168.250.50:61444,192.168.250.1:53,0.0.0.0:0,0.0.0.0:0,300,0
2020-02-25 11:30:49.760,INVALID,Ignore,UDP,192.168.250.1:53,192.168.250.50:61444,0.0.0.0:0,0.0.0.0:0,1072,0
2020-02-25 11:30:49.770,INVALID,Ignore,TCP,192.168.250.50:54853,192.168.250.1:53,0.0.0.0:0,0.0.0.0:0,338,0
2020-02-25 11:30:49.770,INVALID,Ignore,TCP,192.168.250.1:53,192.168.250.50:54853,0.0.0.0:0,0.0.0.0:0,782,0
2020-02-25 11:30:50.340,INVALID,Ignore,UDP,192.168.250.50:55806,192.168.250.1:53,0.0.0.0:0,0.0.0.0:0,192,0
2020-02-25 11:30:50.440,INVALID,Ignore,UDP,192.168.250.1:53,192.168.250.50:55806,0.0.0.0:0,0.0.0.0:0,1042,0
2020-02-25 11:30:50.560,INVALID,Ignore,UDP,192.168.250.50:61608,192.168.250.1:53,0.0.0.0:0,0.0.0.0:0,126,0
2020-02-25 11:30:50.570,INVALID,Ignore,UDP,192.168.250.1:53,192.168.250.50:61608,0.0.0.0:0,0.0.0.0:0,1054,0
2020-02-25 11:30:50.970,INVALID,Ignore,UDP,192.168.250.50:62161,192.168.250.1:53,0.0.0.0:0,0.0.0.0:0,148,0
2020-02-25 11:30:50.980,INVALID,Ignore,UDP,192.168.250.1:53,192.168.250.50:62161,0.0.0.0:0,0.0.0.0:0,936,0
2020-02-25 11:28:49.610,INVALID,Ignore,TCP,192.168.250.50:61200,52.114.75.78:443,0.0.0.0:0,0.0.0.0:0,4891,0
2020-02-25 11:21:57.850,INVALID,Ignore,TCP,23.226.231.226:18053,217.15.20.194:80,0.0.0.0:0,0.0.0.0:0,120,0
2020-02-25 11:30:21.740,INVALID,Ignore,TCP,192.168.250.3:80,23.226.231.226:43228,0.0.0.0:0,0.0.0.0:0,308,0
2020-02-25 11:30:55.310,INVALID,Ignore,UDP,35.239.58.193:42535,217.15.20.194:53,0.0.0.0:0,0.0.0.0:0,122,0
2020-02-25 11:30:55.310,INVALID,Ignore,UDP,192.168.250.247:53,35.239.58.193:42535,0.0.0.0:0,0.0.0.0:0,290,0
2020-02-25 11:30:56.390,INVALID,Ignore,UDP,192.168.250.57:56110,192.168.250.1:53,0.0.0.0:0,0.0.0.0:0,128,0
2020-02-25 11:30:56.390,INVALID,Ignore,UDP,192.168.250.1:53,192.168.250.57:56110,0.0.0.0:0,0.0.0.0:0,128,0
2020-02-25 11:31:00.270,INVALID,Ignore,TCP,23.226.231.226:4855,217.15.20.194:80,0.0.0.0:0,0.0.0.0:0,80,0
2020-02-25 11:21:44.960,INVALID,Ignore,TCP,192.168.250.3:80,23.226.231.226:30844,0.0.0.0:0,0.0.0.0:0,572,0
2020-02-25 11:28:03.740,INVALID,Ignore,TCP,68.232.34.200:443,217.15.20.194:61372,0.0.0.0:0,0.0.0.0:0,11402,0
2020-02-25 11:28:03.700,INVALID,Ignore,TCP,192.168.250.50:61372,68.232.34.200:443,0.0.0.0:0,0.0.0.0:0,2633,0
2020-02-25 11:31:03.830,INVALID,Ignore,UDP,192.168.250.27:59116,192.168.250.1:53,0.0.0.0:0,0.0.0.0:0,156,0
2020-02-25 11:31:03.830,INVALID,Ignore,UDP,192.168.250.27:59118,192.168.250.1:53,0.0.0.0:0,0.0.0.0:0,158,0
2020-02-25 11:31:03.830,INVALID,Ignore,UDP,192.168.250.27:59119,192.168.250.1:53,0.0.0.0:0,0.0.0.0:0,158,0
2020-02-25 11:31:03.830,INVALID,Ignore,UDP,192.168.250.1:53,192.168.250.27:59116,0.0.0.0:0,0.0.0.0:0,700,0
2020-02-25 11:31:03.840,INVALID,Ignore,UDP,192.168.250.27:59120,192.168.250.1:53,0.0.0.0:0,0.0.0.0:0,156,0
2020-02-25 11:31:03.840,INVALID,Ignore,UDP,192.168.250.27:59121,192.168.250.1:53,0.0.0.0:0,0.0.0.0:0,156,0
2020-02-25 11:31:03.840,INVALID,Ignore,UDP,192.168.250.1:53,192.168.250.27:59119,0.0.0.0:0,0.0.0.0:0,768,0
2020-02-25 11:31:03.840,INVALID,Ignore,UDP,192.168.250.27:59122,192.168.250.1:53,0.0.0.0:0,0.0.0.0:0,176,0
2020-02-25 11:31:03.840,INVALID,Ignore,UDP,192.168.250.27:59123,192.168.250.1:53,0.0.0.0:0,0.0.0.0:0,176,0
2020-02-25 11:31:03.840,INVALID,Ignore,UDP,192.168.250.1:53,192.168.250.27:59118,0.0.0.0:0,0.0.0.0:0,768,0
2020-02-25 11:31:03.840,INVALID,Ignore,UDP,192.168.250.27:59124,192.168.250.1:53,0.0.0.0:0,0.0.0.0:0,154,0
2020-02-25 11:31:03.840,INVALID,Ignore,UDP,192.168.250.27:59125,192.168.250.1:53,0.0.0.0:0,0.0.0.0:0,154,0
2020-02-25 11:31:03.840,INVALID,Ignore,UDP,192.168.250.1:53,192.168.250.27:59121,0.0.0.0:0,0.0.0.0:0,764,0
2020-02-25 11:31:03.850,INVALID,Ignore,UDP,192.168.250.1:53,192.168.250.27:59120,0.0.0.0:0,0.0.0.0:0,764,0
2020-02-25 11:31:03.850,INVALID,Ignore,UDP,192.168.250.27:59126,192.168.250.1:53,0.0.0.0:0,0.0.0.0:0,154,0
2020-02-25 11:31:03.850,INVALID,Ignore,UDP,192.168.250.27:59127,192.168.250.1:53,0.0.0.0:0,0.0.0.0:0,154,0
2020-02-25 11:31:03.850,INVALID,Ignore,UDP,192.168.250.1:53,192.168.250.27:59123,0.0.0.0:0,0.0.0.0:0,676,0
2020-02-25 11:31:03.850,INVALID,Ignore,UDP,192.168.250.27:59128,192.168.250.1:53,0.0.0.0:0,0.0.0.0:0,152,0
2020-02-25 11:31:03.850,INVALID,Ignore,UDP,192.168.250.27:59129,192.168.250.1:53,0.0.0.0:0,0.0.0.0:0,152,0
2020-02-25 11:31:03.850,INVALID,Ignore,UDP,192.168.250.1:53,192.168.250.27:59122,0.0.0.0:0,0.0.0.0:0,676,0
2020-02-25 11:31:03.860,INVALID,Ignore,UDP,192.168.250.1:53,192.168.250.27:59125,0.0.0.0:0,0.0.0.0:0,888,0
2020-02-25 11:31:03.860,INVALID,Ignore,UDP,192.168.250.27:59130,192.168.250.1:53,0.0.0.0:0,0.0.0.0:0,156,0
2020-02-25 11:31:03.860,INVALID,Ignore,UDP,192.168.250.27:59131,192.168.250.1:53,0.0.0.0:0,0.0.0.0:0,156,0
2020-02-25 11:31:03.860,INVALID,Ignore,UDP,192.168.250.1:53,192.168.250.27:59124,0.0.0.0:0,0.0.0.0:0,888,0
2020-02-25 11:31:03.860,INVALID,Ignore,UDP,192.168.250.27:59132,192.168.250.1:53,0.0.0.0:0,0.0.0.0:0,152,0
2020-02-25 11:31:03.860,INVALID,Ignore,UDP,192.168.250.27:59133,192.168.250.1:53,0.0.0.0:0,0.0.0.0:0,152,0
2020-02-25 11:31:03.870,INVALID,Ignore,UDP,192.168.250.1:53,192.168.250.27:59127,0.0.0.0:0,0.0.0.0:0,760,0
2020-02-25 11:31:03.870,INVALID,Ignore,UDP,192.168.250.1:53,192.168.250.27:59126,0.0.0.0:0,0.0.0.0:0,760,0
2020-02-25 11:31:03.870,INVALID,Ignore,UDP,192.168.250.1:53,192.168.250.27:59129,0.0.0.0:0,0.0.0.0:0,596,0
2020-02-25 11:31:03.870,INVALID,Ignore,UDP,192.168.250.1:53,192.168.250.27:59128,0.0.0.0:0,0.0.0.0:0,596,0
2020-02-25 11:31:03.870,INVALID,Ignore,UDP,192.168.250.27:59134,192.168.250.1:53,0.0.0.0:0,0.0.0.0:0,160,0
2020-02-25 11:31:03.870,INVALID,Ignore,UDP,192.168.250.27:59135,192.168.250.1:53,0.0.0.0:0,0.0.0.0:0,160,0
2020-02-25 11:31:03.880,INVALID,Ignore,UDP,192.168.250.1:53,192.168.250.27:59131,0.0.0.0:0,0.0.0.0:0,700,0
